"dx","TQIP_severity","TQIP_issbr","NIS_severity","NIS_issbr","TQIP_only_severity","TQIP_only_issbr","NIS_only_severity","NIS_only_issbr","TQIP_effect","TQIP_intercept","NIS_effect","NIS_intercept"
"S071",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",4.38423705239621,-4.27367040846742,1.21888033514109,-3.90847840866382
"S078",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",3.42921412168665,-4.27367040846742,-0.988855737083173,-3.90847840866382
"S079",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",5.07464856924025,-4.27367040846742,-3.87939474637393,-3.90847840866382
"S080",2,"Head/Neck",3,"Head/Neck",2,"Head/Neck",3,"Head/Neck",0.370338037005818,-4.27367040846742,0.178193487543767,-3.90847840866382
"S081",1,"Face",1,"Face",1,"Face",1,"Face",0.217451471522854,-4.27367040846742,-0.652362334945795,-3.90847840866382
"S088",3,"Head/Neck",5,"Head/Neck",3,"Head/Neck",5,"Head/Neck",0.473827577341104,-4.27367040846742,1.29148269532688,-3.90847840866382
"S090",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",0.171295383371203,-4.27367040846742,-0.0865858808451658,-3.90847840866382
"S091",3,"Head/Neck",1,"Head/Neck",3,"Head/Neck",1,"Head/Neck",0.642583909605026,-4.27367040846742,-0.787993340249845,-3.90847840866382
"S092",1,"Face",1,"Face",1,"Face",1,"Face",-0.733405985510824,-4.27367040846742,-0.380240885719676,-3.90847840866382
"S093",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.698207149948265,-4.27367040846742,-1.94906232318085,-3.90847840866382
"S098",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",0.289602259835628,-4.27367040846742,-0.257662051689751,-3.90847840866382
"S099",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",0.284309421801384,-4.27367040846742,-0.134560539904285,-3.90847840866382
"S100",3,"Head/Neck",4,"Head/Neck",3,"Head/Neck",4,"Head/Neck",0.628335672578626,-4.27367040846742,0.653597462833211,-3.90847840866382
"S101",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",0.378394352937072,-4.27367040846742,-1.62287312069494,-3.90847840866382
"S108",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",0.363029293071387,-4.27367040846742,-0.186107743501081,-3.90847840866382
"S109",2,"Head/Neck",3,"Head/Neck",2,"Head/Neck",3,"Head/Neck",0.398587754205499,-4.27367040846742,0.356706857890253,-3.90847840866382
"S110",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",0.871412321970233,-4.27367040846742,1.24062665303165,-3.90847840866382
"S111",2,"Head/Neck",2,"Head/Neck",2,"Head/Neck",2,"Head/Neck",0.32297720997988,-4.27367040846742,0.0763086367457286,-3.90847840866382
"S112",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",0.375819353329204,-4.27367040846742,-0.260363440016924,-3.90847840866382
"S118",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",0.134240522466191,-4.27367040846742,-0.478127978928373,-3.90847840866382
"S119",3,"Head/Neck",1,"Head/Neck",3,"Head/Neck",1,"Head/Neck",0.4699730977626,-4.27367040846742,-0.262370142712837,-3.90847840866382
"S120",3,"Head/Neck",4,"Head/Neck",3,"Head/Neck",4,"Head/Neck",0.63142787330264,-4.27367040846742,0.641487894107327,-3.90847840866382
"S121",3,"Head/Neck",5,"Head/Neck",3,"Head/Neck",5,"Head/Neck",0.705626220050637,-4.27367040846742,0.808647395980771,-3.90847840866382
"S122",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",0.171258862429027,-4.27367040846742,0.107801594909817,-3.90847840866382
"S123",2,"Head/Neck",3,"Head/Neck",2,"Head/Neck",3,"Head/Neck",0.319165688244903,-4.27367040846742,0.35725597665311,-3.90847840866382
"S124",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",0.224974960006556,-4.27367040846742,0.134604228209417,-3.90847840866382
"S125",1,"Head/Neck",3,"Head/Neck",1,"Head/Neck",3,"Head/Neck",0.181397386630531,-4.27367040846742,0.318749210741015,-3.90847840866382
"S126",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",-0.108563856295302,-4.27367040846742,-0.0608092290925429,-3.90847840866382
"S128",4,"Head/Neck",4,"Head/Neck",4,"Head/Neck",4,"Head/Neck",0.880377322521733,-4.27367040846742,0.61002983963936,-3.90847840866382
"S129",2,"Head/Neck",4,"Head/Neck",2,"Head/Neck",4,"Head/Neck",0.308666969178159,-4.27367040846742,0.653750847714437,-3.90847840866382
"S130",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",-0.108039449147823,-4.27367040846742,0.943449146597049,-3.90847840866382
"S131",3,"Head/Neck",4,"Head/Neck",3,"Head/Neck",4,"Head/Neck",0.647346623603949,-4.27367040846742,0.524433956469146,-3.90847840866382
"S132",3,"Head/Neck",1,"Head/Neck",3,"Head/Neck",1,"Head/Neck",0.712021880856035,-4.27367040846742,-1.93741639252539,-3.90847840866382
"S134",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.649699818855288,-4.27367040846742,-0.476729381689592,-3.90847840866382
"S135",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-4.8382639299037,-4.27367040846742,-0.934489179613523,-3.90847840866382
"S138",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-1.0555374499707,-4.27367040846742,-1.74788916736038,-3.90847840866382
"S139",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.726968579972234,-4.27367040846742,-0.197025879297136,-3.90847840866382
"S140",3,"Head/Neck",3,"Head/Neck",3,"Head/Neck",3,"Head/Neck",0.461248538999639,-4.27367040846742,0.479174764039349,-3.90847840866382
"S141",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",1.24253870097688,-4.27367040846742,1.02193661091598,-3.90847840866382
"S142",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.657533459930942,-4.27367040846742,-1.65682242517575,-3.90847840866382
"S143",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-1.52526007637385,-4.27367040846742,-1.08199444056309,-3.90847840866382
"S144",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-1.82714267720041,-4.27367040846742,-2.06495136844099,-3.90847840866382
"S145",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",1.55919523235723,-4.27367040846742,-2.47907781919761,-3.90847840866382
"S148",3,"Head/Neck",2,"Head/Neck",3,"Head/Neck",2,"Head/Neck",0.423848876486896,-4.27367040846742,-0.045094312773182,-3.90847840866382
"S149",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-1.49396262153704,-4.27367040846742,-1.61596476658321,-3.90847840866382
"S150",3,"Head/Neck",4,"Head/Neck",3,"Head/Neck",4,"Head/Neck",0.461477291112714,-4.27367040846742,0.617922449857334,-3.90847840866382
"S151",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",0.186489489483491,-4.27367040846742,0.103058928255147,-3.90847840866382
"S152",2,"Head/Neck",5,"Head/Neck",2,"Head/Neck",5,"Head/Neck",0.340597849464411,-4.27367040846742,1.06838515019226,-3.90847840866382
"S153",4,"Head/Neck",4,"Head/Neck",4,"Head/Neck",4,"Head/Neck",1.03713421564481,-4.27367040846742,0.708760088028276,-3.90847840866382
"S158",3,"Head/Neck",4,"Head/Neck",3,"Head/Neck",4,"Head/Neck",0.486364707842724,-4.27367040846742,0.703273905809937,-3.90847840866382
"S159",3,"Head/Neck",5,"Head/Neck",3,"Head/Neck",5,"Head/Neck",0.646209890440384,-4.27367040846742,2.34309956270875,-3.90847840866382
"S161",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-1.15759183186598,-4.27367040846742,-0.976244644454018,-3.90847840866382
"S162",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",0.378350421890197,-4.27367040846742,-1.58887374810179,-3.90847840866382
"S168",4,"Head/Neck",1,"Head/Neck",4,"Head/Neck",1,"Head/Neck",0.836383435134622,-4.27367040846742,-1.46949283512829,-3.90847840866382
"S169",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",0.0792360572719345,-4.27367040846742,-1.6076697999519,-3.90847840866382
"S170",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",1.90272245245625,-4.27367040846742,-1.59035053978335,-3.90847840866382
"S178",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",-1.88028581931533,-4.27367040846742,3.07033041619925,-3.90847840866382
"S179",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",4.02513683884202,-4.27367040846742,2.33249179413612,-3.90847840866382
"S198",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",0.377141014946152,-4.27367040846742,-0.0843352883812376,-3.90847840866382
"S199",3,"Head/Neck",3,"Head/Neck",3,"Head/Neck",3,"Head/Neck",0.459604779103699,-4.27367040846742,0.30550472175656,-3.90847840866382
"S200",1,"Chest",1,"Chest",1,"Chest",1,"Chest",0.231688435215845,-4.27367040846742,-0.529185099821613,-3.90847840866382
"S201",2,"Chest",1,"Chest",2,"Chest",1,"Chest",0.239167829957606,-4.27367040846742,-1.16478610827299,-3.90847840866382
"S202",1,"Chest",1,"Chest",1,"Chest",1,"Chest",0.176209912016326,-4.27367040846742,-0.139750278140623,-3.90847840866382
"S203",1,"Chest",1,"Chest",1,"Chest",1,"Chest",0.194555868733997,-4.27367040846742,-0.266636045398721,-3.90847840866382
"S204",1,"Chest",1,"Chest",1,"Chest",1,"Chest",0.104932227856776,-4.27367040846742,-0.574712017684337,-3.90847840866382
"S209",1,"Chest",1,"Chest",1,"Chest",1,"Chest",0.088594842483155,-4.27367040846742,-1.56605598340201,-3.90847840866382
"S210",1,"Chest",2,"Chest",1,"Chest",2,"Chest",0.00376432514544236,-4.27367040846742,0.0796854302767267,-3.90847840866382
"S211",2,"Chest",2,"Chest",2,"Chest",2,"Chest",0.405660688428417,-4.27367040846742,0.0519866616506384,-3.90847840866382
"S212",1,"Chest",2,"Chest",1,"Chest",2,"Chest",-0.0468624644856956,-4.27367040846742,0.126027324495678,-3.90847840866382
"S213",5,"Chest",2,"Chest",5,"Chest",2,"Chest",1.29673599349247,-4.27367040846742,0.117998017481278,-3.90847840866382
"S214",4,"Chest",2,"Chest",4,"Chest",2,"Chest",0.822903124189771,-4.27367040846742,-0.0476924053268021,-3.90847840866382
"S219",4,"Chest",1,"Chest",4,"Chest",1,"Chest",0.94469504785169,-4.27367040846742,-0.205800265366602,-3.90847840866382
"S220",1,"Chest",2,"Chest",1,"Chest",2,"Chest",0.0594021705223304,-4.27367040846742,0.00679243001944724,-3.90847840866382
"S222",1,"Chest",3,"Chest",1,"Chest",3,"Chest",0.166589964770818,-4.27367040846742,0.352244632901713,-3.90847840866382
"S223",1,"Chest",3,"Chest",1,"Chest",3,"Chest",-0.0295532680030739,-4.27367040846742,0.16313020171706,-3.90847840866382
"S224",2,"Chest",4,"Chest",2,"Chest",4,"Chest",0.349501060068543,-4.27367040846742,0.503693860340703,-3.90847840866382
"S225",4,"Chest",5,"Chest",4,"Chest",5,"Chest",0.866640825468775,-4.27367040846742,0.791087905343311,-3.90847840866382
"S228",1,"Chest",1,"Chest",1,"Chest",NA,NA,-1.17157718177309,-4.27367040846742,NA,NA
"S229",5,"Chest",1,"Chest",5,"Chest",1,"Chest",2.11932748304589,-4.27367040846742,-0.656959647726862,-3.90847840866382
"S230",4,"Chest",1,"Chest",4,"Chest",1,"Chest",1.15616304074722,-4.27367040846742,-2.22895089193946,-3.90847840866382
