dx,severity,issbr
S06819A,2,Head/Neck
S06820A,1,Head/Neck
S06821A,2,Head/Neck
S06822A,2,Head/Neck
S06823A,3,Head/Neck
S06824A,3,Head/Neck
S06825A,5,Head/Neck
S06826A,5,Head/Neck
S06827A,5,Head/Neck
S06828A,5,Head/Neck
S06829A,2,Head/Neck
S06890A,1,Head/Neck
S06891A,2,Head/Neck
S06892A,2,Head/Neck
S06893A,3,Head/Neck
S06894A,3,Head/Neck
S06895A,5,Head/Neck
S06896A,5,Head/Neck
S06897A,5,Head/Neck
S06898A,5,Head/Neck
S06899A,2,Head/Neck
S069X0A,1,Head/Neck
S069X1A,2,Head/Neck
S069X2A,2,Head/Neck
S069X3A,3,Head/Neck
S069X4A,3,Head/Neck
S069X5A,5,Head/Neck
S069X6A,5,Head/Neck
S069X7A,5,Head/Neck
S069X8A,5,Head/Neck
S069X9A,2,Head/Neck
S070XXA,1,Head/Neck
S071XXA,1,Head/Neck
S078XXA,1,Head/Neck
S079XXA,1,Head/Neck
S080XXA,1,General
S08111A,1,Face
S08112A,1,Face
S08119A,1,Face
S08121A,1,Face
S08122A,1,Face
S08129A,1,Face
S08811A,1,General
S08812A,1,General
S0889XA,1,General
S090XXA,3,Head/Neck
S0910XA,2,Head/Neck
S0911XA,2,Head/Neck
S0912XA,1,General
S0919XA,2,Head/Neck
S0920XA,1,Face
S0921XA,1,Face
S0922XA,1,Face
S09301A,1,Face
S09302A,1,Face
S09309A,1,Face
S09311A,1,Face
S09312A,1,Face
S09313A,1,Face
S09319A,1,Face
S09391A,1,2
S09392A,1,2
S09399A,1,2
S098XXA,1,1
S0990XA,1,1
S0991XA,1,General
S0992XA,1,Face
S0993XA,1,Face
S100XXA,1,General
S1010XA,1,General
S1011XA,1,General
S1012XA,1,General
S1014XA,1,General
S1015XA,1,General
S1016XA,1,General
S1017XA,1,General
S1080XA,1,General
S1081XA,1,General
S1082XA,1,General
S1083XA,1,General
S1084XA,1,General
S1085XA,1,General
S1086XA,1,General
S1087XA,1,General
S1090XA,1,General
S1091XA,1,General
S1092XA,1,General
