"dx","TQIP_severity","TQIP_issbr","NIS_severity","NIS_issbr","TQIP_only_severity","TQIP_only_issbr","NIS_only_severity","NIS_only_issbr","TQIP_effect","TQIP_intercept","NIS_effect","NIS_intercept"
"S00832A",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",NA,NA,-0.439641887086149,-4.20266881449525,NA,NA
"S0083XA",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",0.0541131103714309,-4.20266881449525,-0.011792272029077,-3.86746598419918
"S0084XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.95458723017348,-4.20266881449525,-0.558205321236044,-3.86746598419918
"S0085XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.352803730379402,-4.20266881449525,-0.475461528074833,-3.86746598419918
"S0086XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-1.07303544196734,-4.20266881449525,-0.526748477259855,-3.86746598419918
"S0087XA",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",1.44377722444912,-4.20266881449525,-0.472325797126722,-3.86746598419918
"S0090XA",2,"Head/Neck",3,"Head/Neck",2,"Head/Neck",3,"Head/Neck",0.313254430589075,-4.20266881449525,0.222313541577394,-3.86746598419918
"S0091XA",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",0.304818940835684,-4.20266881449525,-0.242591131918795,-3.86746598419918
"S0092XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",NA,NA,-0.482314791753603,-4.20266881449525,NA,NA
"S0093XA",2,"Head/Neck",2,"Head/Neck",2,"Head/Neck",2,"Head/Neck",0.242959319480389,-4.20266881449525,-0.0572330986404722,-3.86746598419918
"S0094XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",NA,NA,-1.10385670491998,-4.20266881449525,NA,NA
"S0095XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",NA,NA,-0.860736270229255,-4.20266881449525,NA,NA
"S0096XA",1,"Head/Neck",1,"Head/Neck",NA,NA,1,"Head/Neck",NA,NA,-0.558205346358661,-3.86746598419918
"S0097XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",NA,NA,-0.27699268281312,-4.20266881449525,NA,NA
"S0100XA",3,"Head/Neck",4,"Head/Neck",3,"Head/Neck",4,"Head/Neck",0.369999228730761,-4.20266881449525,0.498794026351342,-3.86746598419918
"S0101XA",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",0.0526975973707419,-4.20266881449525,-0.0581900322844481,-3.86746598419918
"S0102XA",1,"Head/Neck",3,"Head/Neck",1,"Head/Neck",3,"Head/Neck",-0.0157217610646801,-4.20266881449525,0.12998544926716,-3.86746598419918
"S0103XA",3,"Head/Neck",5,"Head/Neck",3,"Head/Neck",5,"Head/Neck",0.701138840870185,-4.20266881449525,1.2439584211872,-3.86746598419918
"S0104XA",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",0.822357505458515,-4.20266881449525,1.73616630067987,-3.86746598419918
"S0105XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.538337246296935,-4.20266881449525,-0.322027432783141,-3.86746598419918
"S01101A",1,"Face",3,"Face",1,"Face",3,"Face",-0.428782565562396,-4.20266881449525,0.169943975573799,-3.86746598419918
"S01102A",3,"Face",4,"Face",3,"Face",4,"Face",0.646801851048129,-4.20266881449525,0.77750534246817,-3.86746598419918
"S01109A",4,"Face",1,"Face",4,"Face",1,"Face",1.00000468430211,-4.20266881449525,-1.15318289581766,-3.86746598419918
"S01111A",1,"Face",1,"Face",1,"Face",1,"Face",-0.170831600443596,-4.20266881449525,-0.248620617087587,-3.86746598419918
"S01112A",1,"Face",1,"Face",1,"Face",1,"Face",-0.126779458862888,-4.20266881449525,-0.200469044922011,-3.86746598419918
"S01119A",1,"Face",1,"Face",1,"Face",1,"Face",-0.254326680369595,-4.20266881449525,-0.239053900236457,-3.86746598419918
"S01121A",1,"Face",1,"Face",1,"Face",1,"Face",-0.512009614799845,-4.20266881449525,-0.247122688625006,-3.86746598419918
"S01122A",1,"Face",2,"Face",1,"Face",2,"Face",-0.52876892909759,-4.20266881449525,-0.0488169734192656,-3.86746598419918
"S01129A",1,"Face",1,"Face",1,"Face",1,"Face",-1.21111629429093,-4.20266881449525,-1.15066809064578,-3.86746598419918
"S01131A",1,"Face",1,"Face",1,"Face",1,"Face",-0.592150916556407,-4.20266881449525,-0.4070022908171,-3.86746598419918
"S01132A",4,"Face",1,"Face",4,"Face",1,"Face",1.16817887692258,-4.20266881449525,-1.20549219567674,-3.86746598419918
"S01139A",1,"Face",1,"Face",1,"Face",1,"Face",-0.159532268134219,-4.20266881449525,-0.29294633966882,-3.86746598419918
"S01141A",1,"Face",5,"Face",1,"Face",5,"Face",-0.576880376620027,-4.20266881449525,2.1675257243121,-3.86746598419918
"S01142A",1,"Face",5,"Face",1,"Face",5,"Face",-0.373769151303097,-4.20266881449525,2.20265384685538,-3.86746598419918
"S01149A",1,"Face",1,"Face",1,"Face",NA,NA,-0.98662259322319,-4.20266881449525,NA,NA
"S01151A",1,"Face",1,"Face",1,"Face",1,"Face",-0.63466834725211,-4.20266881449525,-0.433112186322485,-3.86746598419918
"S01152A",1,"Face",1,"Face",1,"Face",1,"Face",-0.489557527349602,-4.20266881449525,-0.346255789522892,-3.86746598419918
"S01159A",1,"Face",1,"Face",1,"Face",NA,NA,-0.650977784752777,-4.20266881449525,NA,NA
"S0120XA",3,"Face",4,"Face",3,"Face",4,"Face",0.653905263253604,-4.20266881449525,0.746096774770001,-3.86746598419918
"S0121XA",1,"Face",2,"Face",1,"Face",2,"Face",-0.137535382132169,-4.20266881449525,-0.0107820653667091,-3.86746598419918
"S0122XA",1,"Face",1,"Face",1,"Face",1,"Face",-0.380285295011115,-4.20266881449525,-0.709078252633986,-3.86746598419918
"S0123XA",1,"Face",1,"Face",1,"Face",1,"Face",-0.217267189295551,-4.20266881449525,-1.10255948991306,-3.86746598419918
"S0124XA",3,"Face",1,"Face",3,"Face",1,"Face",0.496845906032546,-4.20266881449525,-1.15366928701262,-3.86746598419918
"S0125XA",1,"Face",1,"Face",1,"Face",1,"Face",-0.493385612121368,-4.20266881449525,-0.419332108023468,-3.86746598419918
"S01301A",2,"Face",1,"Face",2,"Face",1,"Face",0.212494177666064,-4.20266881449525,-0.262982369143136,-3.86746598419918
"S01302A",1,"Face",3,"Face",1,"Face",3,"Face",0.040670513651829,-4.20266881449525,0.343301317266345,-3.86746598419918
"S01309A",4,"Face",4,"Face",4,"Face",NA,NA,1.22720126192851,-4.20266881449525,NA,NA
"S01311A",1,"Face",1,"Face",1,"Face",1,"Face",-0.314932608953088,-4.20266881449525,-0.220530328164818,-3.86746598419918
"S01312A",1,"Face",1,"Face",1,"Face",1,"Face",-0.174590353715464,-4.20266881449525,-0.327383223297873,-3.86746598419918
"S01319A",1,"Face",1,"Face",1,"Face",1,"Face",-0.152617904002155,-4.20266881449525,-0.107313027989596,-3.86746598419918
"S01321A",1,"Face",4,"Face",1,"Face",4,"Face",-0.290110470949131,-4.20266881449525,0.524251837396877,-3.86746598419918
"S01322A",1,"Face",1,"Face",1,"Face",1,"Face",-0.169750955314132,-4.20266881449525,-0.411948677270992,-3.86746598419918
"S01329A",1,"Face",1,"Face",1,"Face",NA,NA,-1.02577440125503,-4.20266881449525,NA,NA
"S01331A",2,"Face",2,"Face",2,"Face",NA,NA,0.215121797696224,-4.20266881449525,NA,NA
"S01332A",1,"Face",4,"Face",1,"Face",4,"Face",-1.07440284805636,-4.20266881449525,0.56979204861989,-3.86746598419918
"S01339A",1,"Face",1,"Face",1,"Face",NA,NA,-0.611073640169886,-4.20266881449525,NA,NA
"S01341A",1,"Face",1,"Face",1,"Face",1,"Face",0.0880914070687765,-4.20266881449525,-0.633064902355656,-3.86746598419918
"S01342A",1,"Face",1,"Face",1,"Face",1,"Face",-0.541366410392558,-4.20266881449525,-0.729555826475061,-3.86746598419918
"S01351A",1,"Face",1,"Face",1,"Face",1,"Face",-0.271645488786687,-4.20266881449525,-0.336011881898996,-3.86746598419918
"S01352A",1,"Face",1,"Face",1,"Face",1,"Face",-0.216533006529574,-4.20266881449525,-0.415103055880881,-3.86746598419918
"S01359A",5,"Face",5,"Face",5,"Face",NA,NA,2.41521899516351,-4.20266881449525,NA,NA
"S01401A",3,"Face",5,"Face",3,"Face",5,"Face",0.456947362832061,-4.20266881449525,1.15506815877032,-3.86746598419918
"S01402A",2,"Face",1,"Face",2,"Face",1,"Face",0.289265442452261,-4.20266881449525,-0.648656378831338,-3.86746598419918
"S01409A",4,"Face",1,"Face",4,"Face",1,"Face",0.827362191928649,-4.20266881449525,-0.998304790007055,-3.86746598419918
"S01411A",1,"Face",1,"Face",1,"Face",1,"Face",-0.181078813582997,-4.20266881449525,-0.415652327814528,-3.86746598419918
"S01412A",1,"Face",1,"Face",1,"Face",1,"Face",-0.139647839212574,-4.20266881449525,-0.218024446249163,-3.86746598419918
"S01419A",1,"Face",1,"Face",1,"Face",1,"Face",-0.12896764305394,-4.20266881449525,-0.280538543270345,-3.86746598419918
"S01421A",1,"Face",1,"Face",1,"Face",1,"Face",-0.238064008190203,-4.20266881449525,-0.191377449438595,-3.86746598419918
"S01422A",1,"Face",1,"Face",1,"Face",1,"Face",0.101876402583422,-4.20266881449525,-1.00849447847662,-3.86746598419918
"S01429A",4,"Face",1,"Face",4,"Face",1,"Face",1.09801438991076,-4.20266881449525,-0.314239838646979,-3.86746598419918
"S01431A",1,"Face",1,"Face",1,"Face",1,"Face",0.0306283819891476,-4.20266881449525,-0.569044512363709,-3.86746598419918
"S01432A",1,"Face",4,"Face",1,"Face",4,"Face",-0.0388735600637999,-4.20266881449525,0.568704781698486,-3.86746598419918
"S01439A",1,"Face",1,"Face",1,"Face",1,"Face",0.132377805226636,-4.20266881449525,-0.450418098903076,-3.86746598419918
"S01441A",1,"Face",1,"Face",1,"Face",1,"Face",-0.172191668962984,-4.20266881449525,-1.91790624423545,-3.86746598419918
"S01442A",1,"Face",5,"Face",1,"Face",5,"Face",0.0649868061726818,-4.20266881449525,2.15281557133801,-3.86746598419918
"S01449A",1,"Face",1,"Face",1,"Face",NA,NA,-1.47244774601706,-4.20266881449525,NA,NA
"S01451A",1,"Face",1,"Face",1,"Face",1,"Face",-0.493107740299989,-4.20266881449525,-0.430392450096476,-3.86746598419918
"S01452A",1,"Face",1,"Face",1,"Face",1,"Face",-0.307639334521692,-4.20266881449525,-0.436483867760582,-3.86746598419918
"S01459A",4,"Face",1,"Face",4,"Face",1,"Face",1.19321229309109,-4.20266881449525,-0.296372651660517,-3.86746598419918
"S01501A",2,"Face",1,"Face",2,"Face",1,"Face",0.19049253071389,-4.20266881449525,-0.883242380689321,-3.86746598419918
"S01502A",4,"Face",4,"Face",4,"Face",4,"Face",1.03048977563034,-4.20266881449525,0.86064102123471,-3.86746598419918
"S01511A",1,"Face",1,"Face",1,"Face",1,"Face",-0.184985454906406,-4.20266881449525,-0.248661705036517,-3.86746598419918
"S01512A",1,"Face",2,"Face",1,"Face",2,"Face",-0.158468879259815,-4.20266881449525,-0.0387796426123401,-3.86746598419918
"S01521A",1,"Face",1,"Face",1,"Face",1,"Face",-0.351785658063135,-4.20266881449525,-0.233068080620463,-3.86746598419918
"S01522A",1,"Face",1,"Face",1,"Face",1,"Face",-0.0268351563484031,-4.20266881449525,-0.48362440992127,-3.86746598419918
"S01531A",1,"Face",1,"Face",1,"Face",1,"Face",-0.250600665009553,-4.20266881449525,-0.771371654134436,-3.86746598419918
"S01532A",3,"Face",1,"Face",3,"Face",1,"Face",0.498729495634689,-4.20266881449525,-0.624665552969262,-3.86746598419918
"S01541A",1,"Face",1,"Face",1,"Face",1,"Face",-0.618356831946487,-4.20266881449525,-0.46237174155827,-3.86746598419918
"S01542A",1,"Face",1,"Face",1,"Face",1,"Face",-0.243890282308117,-4.20266881449525,-0.385751452199023,-3.86746598419918
"S01551A",1,"Face",1,"Face",1,"Face",1,"Face",-0.553383137781299,-4.20266881449525,-0.429201335251987,-3.86746598419918
"S01552A",2,"Face",3,"Face",2,"Face",3,"Face",0.208819331616214,-4.20266881449525,0.191228199931883,-3.86746598419918
"S0180XA",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",0.92290349019779,-4.20266881449525,1.53822176933736,-3.86746598419918
"S0181XA",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",-0.0385839791318147,-4.20266881449525,-0.0354258991736682,-3.86746598419918
"S0182XA",1,"Head/Neck",3,"Head/Neck",1,"Head/Neck",3,"Head/Neck",-0.143753348354126,-4.20266881449525,0.353244762795207,-3.86746598419918
"S0183XA",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",0.988088064314741,-4.20266881449525,1.33157522706812,-3.86746598419918
"S0184XA",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",1.57210078424588,-4.20266881449525,1.99207918450572,-3.86746598419918
"S0185XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.0456571920992302,-4.20266881449525,-0.421149447219697,-3.86746598419918
"S0190XA",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",0.899780590656946,-4.20266881449525,2.85255180119649,-3.86746598419918
"S0191XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",0.056921383146057,-4.20266881449525,-0.114592540387232,-3.86746598419918
"S0192XA",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",1.64128324200289,-4.20266881449525,-0.75527087260569,-3.86746598419918
"S0193XA",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",1.62113599953379,-4.20266881449525,2.02979317522255,-3.86746598419918
"S0194XA",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",1.89768557998366,-4.20266881449525,-1.99424064864482,-3.86746598419918
"S0195XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.520617302162491,-4.20266881449525,-0.215579868163986,-3.86746598419918
"S020XXA",1,"Head/Neck",3,"Head/Neck",1,"Head/Neck",3,"Head/Neck",0.106172129829889,-4.20266881449525,0.147205980849088,-3.86746598419918
