"dx","mechmaj","mechmin","intent"
"V94",9,NA,0
"V95",9,NA,0
"V96",9,NA,0
"V97",9,NA,0
"V98",9,NA,0
"V99",9,NA,0
"W00",2,NA,0
"W01",2,NA,0
"W02",2,NA,0
"W03",2,NA,0
"W04",2,NA,0
"W05",2,NA,0
"W06",2,NA,0
"W07",2,NA,0
"W08",2,NA,0
"W09",2,NA,0
"W10",2,NA,0
"W11",2,NA,0
"W12",2,NA,0
"W13",2,NA,0
"W14",2,NA,0
"W15",2,NA,0
"W16",2,NA,0
"W17",2,NA,0
"W18",2,NA,0
"W19",2,NA,0
"W20",13,NA,0
"W21",13,NA,0
"W22",13,NA,0
"W23",15,NA,0
"W24",5,NA,0
"W25",0,NA,0
"W26",0,NA,0
"W27",0,NA,0
"W28",0,NA,0
"W29",0,NA,0
"W30",5,NA,0
"W31",5,NA,0
"W32",4,NA,0
"W33",4,NA,0
"W34",4,NA,0
"W35",15,NA,0
"W36",15,NA,0
"W37",15,NA,0
"W38",15,NA,0
"W39",15,NA,0
"W40",15,NA,0
"W41",15,NA,0
"W42",10,NA,0
"W43",10,NA,0
"W44",15,NA,0
"W45",0,NA,0
"W49",15,NA,0
"W50",13,NA,0
"W51",13,NA,0
"W52",13,NA,0
"W53",10,NA,0
"W54",10,NA,0
"W55",10,NA,0
"W56",10,NA,0
"W57",10,NA,0
"W58",10,NA,0
"W59",10,NA,0
"W60",10,NA,0
"W61",10,NA,0
"W62",10,NA,0
"W63",10,NA,0
"W64",10,NA,0
"W65",1,NA,0
"W66",1,NA,0
"W67",1,NA,0
"W68",1,NA,0
"W69",1,NA,0
"W70",1,NA,0
"W71",1,NA,0
"W72",1,NA,0
"W73",1,NA,0
"W74",1,NA,0
"W75",14,NA,0
"W76",14,NA,0
"W77",14,NA,0
"W78",14,NA,0
"W79",14,NA,0
"W80",14,NA,0
"W81",14,NA,0
"W82",14,NA,0
"W83",14,NA,0
"W84",14,NA,0
"W85",15,NA,0
"W86",15,NA,0
"W87",15,NA,0
"W88",15,NA,0
"W89",15,NA,0
"W90",15,NA,0
"W91",15,NA,0
"W92",10,NA,0
"W93",10,NA,0
"W94",10,NA,0
"W95",10,NA,0
"W96",10,NA,0
"W97",10,NA,0
"W98",10,NA,0
"W99",10,NA,0
"X00",3,0,0
"X01",3,0,0
"X02",3,0,0
"X03",3,0,0
"X04",3,0,0
"X05",3,0,0
"X06",3,0,0
"X07",3,0,0
"X08",3,0,0
"X09",3,0,0
"X10",3,1,0
"X11",3,1,0
"X12",3,1,0
"X13",3,1,0
"X14",3,1,0
"X15",3,1,0
"X16",3,1,0
"X17",3,1,0
