"dx","barell","severity","issbr","apc"
"94843","35J",9,6,""
"94844","35J",9,6,""
"94850","35J",9,6,""
"94851","35J",9,6,""
"94852","35J",9,6,""
"94853","35J",9,6,""
"94854","35J",9,6,""
"94855","35J",9,6,""
"94860","35J",9,6,""
"94861","35J",9,6,""
"94862","35J",9,6,""
"94863","35J",9,6,""
"94864","35J",9,6,""
"94865","35J",9,6,""
"94866","35J",9,6,""
"94870","35J",9,6,""
"94871","35J",9,6,""
"94872","35J",9,6,""
"94873","35J",9,6,""
"94874","35J",9,6,""
"94875","35J",9,6,""
"94876","35J",9,6,""
"94877","35J",9,6,""
"94880","35J",9,6,""
"94881","35J",9,6,""
"94882","35J",9,6,""
"94883","35J",9,6,""
"94884","35J",9,6,""
"94885","35J",9,6,""
"94886","35J",9,6,""
"94887","35J",9,6,""
"94888","35J",9,6,""
"94890","35J",9,6,""
"94891","35J",9,6,""
"94892","35J",9,6,""
"94893","35J",9,6,""
"94894","35J",9,6,""
"94895","35J",9,6,""
"94896","35J",9,6,""
"94897","35J",9,6,""
"94898","35J",9,6,""
"94899","35J",9,6,""
"9490","35J",9,6,""
"9491","35J",9,6,""
"9492","35J",9,6,""
"9493","35J",9,6,""
"9494","35J",9,6,""
"9495","35J",9,6,""
"9500","06K",2,1,"D"
"9501","01K",2,1,"D"
"9502","01K",2,1,"D"
"9503","01K",1,1,"D"
"9509","06K",2,1,"D"
"9510","04K",2,1,"D"
"9511","04K",2,1,"D"
"9512","04K",2,1,"D"
"9513","04K",2,1,"D"
"9514","04K",2,1,"D"
"9515","04K",2,1,"D"
"9516","04K",2,1,"D"
"9517","04K",2,1,"D"
"9518","04K",2,1,"D"
"9519","04K",2,1,"D"
"95200","09D",3,1,"A"
"95201","09D",6,1,"A"
"95202","09D",4,1,"A"
"95203","09D",4,1,"A"
"95204","09D",4,1,"A"
"95205","09D",3,1,"A"
"95206","09D",5,1,"A"
"95207","09D",4,1,"A"
"95208","09D",4,1,"A"
"95209","09D",4,1,"A"
"95210","10D",3,3,"A"
"95211","10D",5,3,"A"
"95212","10D",4,3,"A"
"95213","10D",4,3,"A"
"95214","10D",5,3,"A"
"95215","10D",3,3,"A"
"95216","10D",5,3,"A"
"95217","10D",4,3,"A"
"95218","10D",4,3,"A"
"95219","10D",4,3,"A"
"9522","11D",3,4,"A"
"9523","12D",3,4,"A"
"9524","12D",3,4,"A"
"9528","13D",3,4,"A"
"9529","13D",3,4,"A"
"9530","07K",2,1,"D"
"9531","19K",2,3,"D"
"9532","20K",2,4,"D"
"9533","21K",2,4,"D"
"9534","27K",2,1,"D"
"9535","20K",2,4,"D"
"9538","34K",2,1,"D"
"9539","35K",2,1,"D"
"9540","07K",2,1,"D"
"9541","22K",2,4,"D"
"9548","22K",2,4,"D"
"9549","22K",2,4,"D"
"9550","27K",2,5,"D"
"9551","27K",2,5,"D"
"9552","27K",2,5,"D"
"9553","27K",2,5,"D"
"9554","27K",2,5,"D"
"9555","27K",2,5,"D"
"9556","27K",1,5,"D"
"9557","27K",2,5,"D"
"9558","27K",2,5,"D"
"9559","27K",1,5,"D"
"9560","34K",2,5,"D"
"9561","34K",2,5,"D"
"9562","34K",2,5,"D"
"9563","34K",2,5,"D"
"9564","34K",2,5,"D"
"9565","34K",2,5,"D"
"9568","34K",2,5,"D"
"9569","34K",2,5,"D"
"9570","08K",2,1,"D"
"9571","35K",2,1,"D"
"9578","35K",1,1,"D"
"9579","35K",2,1,"D"
"95901","04L",2,1,"D"
"95909","08L",1,2,"D"
"9591","22L",1,6,"D"
"95911","19L",1,3,"D"
"95912","20L",1,4,"D"
"95913","21L",1,4,"D"
"95914","21L",1,4,"D"
"95919","22L",1,6,"D"
"9592","24L",1,5,"D"
"9593","27L",1,5,"D"
"9594","26L",2,5,"D"
"9595","26L",1,5,"D"
"9596","33L",1,5,"D"
"9597","33L",1,5,"D"
"9598","35L",1,6,"D"
"9599","35L",1,6,"D"
