"dx","barell","severity","issbr","apc"
"80504","14A",2,1,"D"
"80505","14A",2,1,"D"
"80506","14A",2,1,"D"
"80507","14A",2,1,"D"
"80508","14A",2,1,"D"
"80510","14A",2,1,"D"
"80511","14A",2,1,"D"
"80512","14A",2,1,"D"
"80513","14A",2,1,"D"
"80514","14A",2,1,"D"
"80515","14A",2,1,"D"
"80516","14A",2,1,"D"
"80517","14A",2,1,"D"
"80518","14A",2,1,"D"
"8052","15A",2,3,"D"
"8053","15A",2,3,"D"
"8054","16A",2,4,"D"
"8055","16A",2,4,"D"
"8056","17A",2,5,"D"
"8057","17A",3,5,"C"
"8058","18A",2,3,"D"
"8059","18A",2,3,"D"
"80600","09A",3,1,"A"
"80601","09A",6,1,"A"
"80602","09A",4,1,"A"
"80603","09A",4,1,"A"
"80604","09A",4,1,"A"
"80605","09A",3,1,"A"
"80606","09A",5,1,"A"
"80607","09A",4,1,"A"
"80608","09A",4,1,"A"
"80609","09A",4,1,"A"
"80610","09A",3,1,"A"
"80611","09A",5,1,"A"
"80612","09A",5,1,"A"
"80613","09A",3,1,"A"
"80614","09A",4,1,"A"
"80615","09A",5,1,"A"
"80616","09A",5,1,"A"
"80617","09A",3,1,"A"
"80618","09A",4,1,"A"
"80619","09A",5,1,"A"
"80620","10A",3,3,"A"
"80621","10A",5,3,"A"
"80622","10A",4,3,"A"
"80623","10A",4,3,"A"
"80624","10A",4,3,"A"
"80625","10A",3,3,"A"
"80626","10A",5,3,"A"
"80627","10A",4,3,"A"
"80628","10A",4,3,"A"
"80629","10A",4,3,"A"
"80630","10A",5,3,"A"
"80631","10A",5,3,"A"
"80632","10A",5,3,"A"
"80633","10A",5,3,"A"
"80634","10A",5,3,"A"
"80635","10A",5,3,"A"
"80636","10A",5,3,"A"
"80637","10A",5,3,"A"
"80638","10A",5,3,"A"
"80639","10A",5,3,"A"
"8064","11A",3,4,"A"
"8065","11A",5,4,"A"
"80660","12A",3,4,"A"
"80661","12A",2,4,"D"
"80662","12A",3,4,"A"
"80669","12A",3,4,"A"
"80670","12A",3,4,"A"
"80671","12A",4,4,"A"
"80672","12A",3,4,"A"
"80679","12A",3,4,"A"
"8068","13A",5,3,"A"
"8069","13A",2,3,"D"
"80700","19A",2,3,"D"
"80701","19A",1,3,"D"
"80702","19A",2,3,"D"
"80703","19A",2,3,"D"
"80704","19A",3,3,"B"
"80705","19A",3,3,"B"
"80706","19A",3,3,"B"
"80707","19A",4,3,"B"
"80708","19A",4,3,"B"
"80709","19A",2,3,"D"
"80710","19A",1,3,"D"
"80711","19A",3,3,"B"
"80712","19A",3,3,"B"
"80713","19A",3,3,"B"
"80714","19A",3,3,"B"
"80715","19A",3,3,"B"
"80716","19A",4,3,"B"
"80717","19A",4,3,"B"
"80718","19A",3,3,"B"
"80719","19A",3,3,"B"
"8072","19A",2,3,"D"
"8073","19A",2,3,"D"
"8074","19A",4,3,"B"
"8075","07A",2,1,"D"
"8076","07A",5,1,"B"
"8080","21A",2,5,"D"
"8081","21A",3,5,"C"
"8082","21A",2,5,"D"
"8083","21A",3,5,"C"
"80841","21A",2,5,"D"
"80842","21A",2,5,"D"
"80843","21A",4,5,"C"
"80849","21A",2,5,"D"
"80851","21A",3,5,"C"
"80852","21A",3,5,"C"
"80853","21A",3,5,"C"
"80859","21A",3,5,"C"
"8088","21A",2,5,"D"
"8089","21A",3,5,"C"
"8090","22A",2,5,"D"
"8091","22A",2,3,"D"
"81000","24A",2,5,"D"
"81001","24A",2,5,"D"
"81002","24A",2,5,"D"
"81003","24A",2,5,"D"
"81010","24A",2,5,"D"
"81011","24A",2,5,"D"
"81012","24A",2,5,"D"
"81013","24A",2,5,"D"
"81100","24A",2,5,"D"
"81101","24A",2,5,"D"
"81102","24A",2,5,"D"
"81103","24A",2,5,"D"
"81109","24A",2,5,"D"
"81110","24A",2,5,"D"
"81111","24A",2,5,"D"
"81112","24A",2,5,"D"
"81113","24A",2,5,"D"
"81119","24A",2,5,"D"
"81200","24A",2,5,"D"
"81201","24A",2,5,"D"
"81202","24A",2,5,"D"
"81203","24A",2,5,"D"
"81209","24A",2,5,"D"
"81210","24A",3,5,"C"
"81211","24A",3,5,"C"
"81212","24A",3,5,"C"
"81213","24A",3,5,"C"
"81219","24A",3,5,"C"
"81220","24A",2,5,"D"
"81221","24A",2,5,"D"
"81230","24A",3,5,"C"
"81231","24A",3,5,"C"
"81240","24A",2,5,"D"
