"dx","mechmaj","mechmin","intent"
"E9797",15,NA,2
"E9798",15,NA,2
"E9799",15,NA,2
"E9800",12,NA,3
"E9801",12,NA,3
"E9802",12,NA,3
"E9803",12,NA,3
"E9804",12,NA,3
"E9805",12,NA,3
"E9806",12,NA,3
"E9807",12,NA,3
"E9808",12,NA,3
"E9809",12,NA,3
"E9810",12,NA,3
"E9811",12,NA,3
"E9818",12,NA,3
"E9820",12,NA,3
"E9821",12,NA,3
"E9828",12,NA,3
"E9829",12,NA,3
"E9830",14,NA,3
"E9831",14,NA,3
"E9838",14,NA,3
"E9839",14,NA,3
"E984",1,NA,3
"E9850",4,NA,3
"E9851",4,NA,3
"E9852",4,NA,3
"E9853",4,NA,3
"E9854",4,NA,3
"E9855",15,NA,3
"E9856",4,NA,3
"E9857",15,NA,3
"E986",0,NA,3
"E9870",2,NA,3
"E9871",2,NA,3
"E9872",2,NA,3
"E9879",2,NA,3
"E9880",15,NA,3
"E9881",3,0,3
"E9882",3,1,3
"E9883",10,NA,3
"E9884",15,NA,3
"E9885",6,NA,3
"E9886",9,NA,3
"E9887",3,1,3
"E9888",16,NA,3
"E9889",17,NA,3
"E989",16,NA,3
"E9900",15,NA,4
"E9909",15,NA,4
"E9910",15,NA,4
"E9911",15,NA,4
"E9912",15,NA,4
"E9913",15,NA,4
"E9919",15,NA,4
"E992",15,NA,4
"E993",15,NA,4
"E994",15,NA,4
"E995",16,NA,4
"E996",15,NA,4
"E9970",15,NA,4
"E9971",15,NA,4
"E9972",15,NA,4
"E9978",16,NA,4
"E9979",17,NA,4
"E998",16,NA,4
"E999",16,NA,4
"E9990",16,NA,4
"E9991",16,NA,4
