"dx","severity","issbr"
"S15129",3,"Head/Neck"
"S15191",2,"Head/Neck"
"S15192",2,"Head/Neck"
"S15199",2,"Head/Neck"
"S15201",1,"Head/Neck"
"S15209",1,"Head/Neck"
"S15211",1,"Head/Neck"
"S15212",1,"Head/Neck"
"S15219",1,"Head/Neck"
"S15221",4,"Head/Neck"
"S15222",1,"Head/Neck"
"S15229",3,"Head/Neck"
"S15291",1,"Head/Neck"
"S15292",1,"Head/Neck"
"S15301",1,"Head/Neck"
"S15302",1,"Head/Neck"
"S15309",5,"Head/Neck"
"S15311",1,"Head/Neck"
"S15312",1,"Head/Neck"
"S15321",5,"Head/Neck"
"S15322",1,"Head/Neck"
"S15329",5,"Head/Neck"
"S15391",3,"Head/Neck"
"S15392",5,"Head/Neck"
"S158",3,"Head/Neck"
"S159",2,"Head/Neck"
"S161",1,"Head/Neck"
"S162",2,"Head/Neck"
"S168",3,"Head/Neck"
"S169",1,"Head/Neck"
"S170",4,"Head/Neck"
"S179",5,"Head/Neck"
"S1980",5,"Head/Neck"
"S1981",1,"Head/Neck"
"S1982",3,"Head/Neck"
"S1983",1,"Head/Neck"
"S1984",2,"Head/Neck"
"S1985",3,"Head/Neck"
"S1989",5,"Head/Neck"
"S199",2,"Head/Neck"
"S2000",1,"Chest"
"S2001",1,"Chest"
"S2002",1,"Chest"
"S20111",3,"Chest"
"S20112",1,"Chest"
"S20119",1,"Chest"
"S2020",1,"Chest"
"S20211",1,"Chest"
"S20212",1,"Chest"
"S20219",2,"Chest"
"S20221",1,"Chest"
"S20222",1,"Chest"
"S20229",1,"Chest"
"S20301",3,"Chest"
"S20302",1,"Chest"
"S20309",4,"Chest"
"S20311",2,"Chest"
"S20312",1,"Chest"
"S20319",2,"Chest"
"S20401",1,"Chest"
"S20402",1,"Chest"
"S20409",1,"Chest"
"S20411",1,"Chest"
"S20412",1,"Chest"
"S20419",1,"Chest"
"S20452",1,"Chest"
"S2090",4,"Chest"
"S2091",1,"Chest"
"S21002",1,"Chest"
"S21009",1,"Chest"
"S21011",1,"Chest"
"S21012",1,"Chest"
"S21021",1,"Chest"
"S21022",1,"Chest"
"S21031",1,"Chest"
"S21041",5,"Chest"
"S21052",1,"Chest"
"S21101",3,"Chest"
"S21102",2,"Chest"
"S21109",3,"Chest"
"S21111",1,"Chest"
"S21112",2,"Chest"
"S21119",3,"Chest"
"S21121",1,"Chest"
"S21122",1,"Chest"
"S21129",4,"Chest"
"S21131",1,"Chest"
"S21132",1,"Chest"
"S21139",5,"Chest"
"S21141",1,"Chest"
"S21142",2,"Chest"
"S21149",5,"Chest"
"S21151",1,"Chest"
"S21152",1,"Chest"
"S21201",1,"Chest"
"S21202",1,"Chest"
"S21209",1,"Chest"
"S21211",1,"Chest"
"S21212",1,"Chest"
"S21219",1,"Chest"
"S21221",1,"Chest"
"S21222",1,"Chest"
"S21229",1,"Chest"
"S21231",1,"Chest"
"S21232",1,"Chest"
"S21239",1,"Chest"
"S21241",1,"Chest"
"S21242",1,"Chest"
"S21249",1,"Chest"
"S21259",1,"Chest"
"S21301",5,"Chest"
"S21302",5,"Chest"
"S21309",4,"Chest"
"S21311",4,"Chest"
"S21312",4,"Chest"
"S21319",3,"Chest"
"S21321",1,"Chest"
"S21322",4,"Chest"
"S21331",5,"Chest"
"S21332",4,"Chest"
"S21339",5,"Chest"
"S21341",5,"Chest"
"S21342",5,"Chest"
"S21349",5,"Chest"
"S21401",5,"Chest"
"S21402",1,"Chest"
"S21409",5,"Chest"
"S21411",1,"Chest"
"S21412",4,"Chest"
"S21419",5,"Chest"
"S21421",1,"Chest"
"S21422",1,"Chest"
"S21429",1,"Chest"
"S21431",2,"Chest"
"S21432",2,"Chest"
"S21439",1,"Chest"
"S21441",3,"Chest"
"S21442",5,"Chest"
"S2190",3,"Chest"
"S2191",4,"Chest"
"S2192",1,"Chest"
"S2193",5,"Chest"
"S2194",5,"Chest"
"S2195",1,"Chest"
"S22000",2,"Chest"
"S22001",1,"Chest"
"S22002",3,"Chest"
"S22008",2,"Chest"
"S22009",2,"Chest"
"S22010",1,"Chest"
"S22011",1,"Chest"
"S22012",1,"Chest"
"S22018",1,"Chest"
"S22019",1,"Chest"
"S22020",2,"Chest"
"S22021",1,"Chest"
"S22022",2,"Chest"
"S22028",1,"Chest"
"S22029",1,"Chest"
"S22030",1,"Chest"
"S22031",1,"Chest"
"S22032",1,"Chest"
"S22038",1,"Chest"
"S22039",1,"Chest"
"S22040",1,"Chest"
"S22041",1,"Chest"
"S22042",1,"Chest"
"S22048",1,"Chest"
"S22049",1,"Chest"
"S22050",1,"Chest"
"S22051",1,"Chest"
"S22052",1,"Chest"
"S22058",1,"Chest"
"S22059",1,"Chest"
"S22060",1,"Chest"
"S22061",1,"Chest"
"S22062",1,"Chest"
"S22068",1,"Chest"
"S22069",1,"Chest"
"S22070",1,"Chest"
"S22071",3,"Chest"
"S22072",3,"Chest"
"S22078",1,"Chest"
"S22079",1,"Chest"
"S22080",1,"Chest"
"S22081",1,"Chest"
"S22082",1,"Chest"
"S22088",2,"Chest"
"S22089",1,"Chest"
"S2220",2,"Chest"
"S2221",1,"Chest"
"S2222",2,"Chest"
"S2223",2,"Chest"
"S2224",1,"Chest"
"S2231",1,"Chest"
"S2232",1,"Chest"
"S2239",2,"Chest"
"S2241",2,"Chest"
"S2242",1,"Chest"
"S2243",3,"Chest"
"S2249",2,"Chest"
"S225",3,"Chest"
"S229",1,"Chest"
"S230",3,"Chest"
"S23101",2,"Chest"
"S23110",1,"Chest"
"S23111",1,"Chest"
"S23123",1,"Chest"
"S23131",1,"Chest"
"S23133",1,"Chest"
"S23141",1,"Chest"
"S23142",1,"Chest"
"S23143",4,"Chest"
"S23150",1,"Chest"
"S23151",1,"Chest"
"S23153",1,"Chest"
"S23160",1,"Chest"
"S23161",3,"Chest"
"S23162",1,"Chest"
"S23163",1,"Chest"
"S23170",2,"Chest"
"S23171",1,"Chest"
"S2320",5,"Chest"
"S2329",1,"Chest"
"S233",1,"Chest"
"S2341",1,"Chest"
"S23420",1,"Chest"
"S23428",1,"Chest"
"S23429",1,"Chest"
"S238",1,"Chest"
"S239",1,"Chest"
"S240",3,"Chest"
"S24101",5,"Chest"
"S24102",2,"Chest"
"S24103",1,"Chest"
"S24104",2,"Chest"
"S24109",5,"Chest"
"S24111",1,"Chest"
"S24112",5,"Chest"
"S24113",4,"Chest"
"S24114",3,"Chest"
"S24119",1,"Chest"
"S24132",1,"Chest"
"S24133",1,"Chest"
"S24134",5,"Chest"
"S24139",1,"Chest"
"S24142",1,"Chest"
"S24144",1,"Chest"
"S24149",1,"Chest"
"S24151",3,"Chest"
"S24152",3,"Chest"
"S24153",3,"Chest"
"S24154",1,"Chest"
"S242",3,"Chest"
"S249",1,"Chest"
"S2500",5,"Chest"
"S2501",5,"Chest"
"S2502",5,"Chest"
"S2509",4,"Chest"
"S25101",3,"Chest"
"S25102",1,"Chest"
"S25109",3,"Chest"
"S25111",3,"Chest"
"S25112",4,"Chest"
"S25119",5,"Chest"
"S25121",5,"Chest"
"S25122",5,"Chest"
"S25191",1,"Chest"
"S25192",3,"Chest"
"S2520",5,"Chest"
"S2521",5,"Chest"
"S2522",5,"Chest"
"S2529",5,"Chest"
"S25301",1,"Chest"
"S25302",1,"Chest"
"S25309",2,"Chest"
"S25311",1,"Chest"
"S25312",3,"Chest"
"S25322",4,"Chest"
"S25392",1,"Chest"
"S25401",5,"Chest"
"S25409",4,"Chest"
"S25411",1,"Chest"
"S25412",3,"Chest"
"S25419",1,"Chest"
"S25422",5,"Chest"
"S25429",5,"Chest"
"S25491",1,"Chest"
"S25501",3,"Chest"
"S25509",3,"Chest"
"S25511",1,"Chest"
"S25512",2,"Chest"
"S25519",5,"Chest"
"S25599",1,"Chest"
"S25801",5,"Chest"
"S25802",1,"Chest"
"S25809",5,"Chest"
"S25811",2,"Chest"
"S25812",2,"Chest"
"S25819",5,"Chest"
"S25891",3,"Chest"
"S25892",5,"Chest"
"S25899",3,"Chest"
"S2590",5,"Chest"
"S2591",5,"Chest"
"S2599",1,"Chest"
"S2600",5,"Chest"
"S2601",3,"Chest"
"S26020",4,"Chest"
"S26021",5,"Chest"
"S26022",5,"Chest"
"S2609",5,"Chest"
"S2610",3,"Chest"
"S2611",2,"Chest"
"S2612",5,"Chest"
"S2619",3,"Chest"
"S2690",5,"Chest"
"S2691",3,"Chest"
"S2692",5,"Chest"
"S2699",5,"Chest"
"S270",2,"Chest"
"S271",3,"Chest"
"S272",2,"Chest"
"S27301",5,"Chest"
"S27302",5,"Chest"
"S27309",5,"Chest"
"S27311",5,"Chest"
"S27312",4,"Chest"
"S27319",1,"Chest"
"S27321",1,"Chest"
"S27322",2,"Chest"
"S27329",2,"Chest"
"S27331",3,"Chest"
"S27332",4,"Chest"
"S27339",5,"Chest"
"S27391",4,"Chest"
"S27392",3,"Chest"
"S27399",5,"Chest"
"S27402",1,"Chest"
"S27409",5,"Chest"
"S27421",1,"Chest"
"S27422",1,"Chest"
"S27431",5,"Chest"
"S27491",1,"Chest"
"S2753",1,"Chest"
"S2760",1,"Chest"
"S2763",4,"Chest"
"S2769",2,"Chest"
"S27802",3,"Chest"
"S27803",3,"Chest"
"S27808",3,"Chest"
"S27809",3,"Chest"
"S27812",2,"Chest"
"S27813",3,"Chest"
"S27818",1,"Chest"
"S27819",3,"Chest"
"S27892",2,"Chest"
"S27893",5,"Chest"
"S27898",2,"Chest"
"S27899",5,"Chest"
"S279",4,"Chest"
"S280",5,"Chest"
"S281",1,"Chest"
"S28222",1,"Chest"
"S29001",1,"Chest"
"S29009",1,"Chest"
