dx,icd_10,issbr,hmp,hma,sev,icdn
S06.370A,S06.370,Head/Neck,0.050000001,0.125,3,48
S06.371A,S06.371,Head/Neck,0,0.181818187,2,11
S06.373A,S06.373,Head/Neck,0,0.333333343,3,6
S06.374A,S06.374,Head/Neck,0,0,1,3
S06.375A,S06.375,Head/Neck,0,0,1,1
S06.376A,S06.376,Head/Neck,0.5,0.200000003,5,5
S06.377A,S06.377,Head/Neck,1,0.958333313,5,24
S06.378A,S06.378,Head/Neck,1,1,6,1
S06.379A,S06.379,Head/Neck,0.142857149,0.220338985,4,59
S06.380A,S06.380,Head/Neck,0.222222224,0.266666681,5,30
S06.381A,S06.381,Head/Neck,0,0.166666672,2,6
S06.382A,S06.382,Head/Neck,0,1,5,1
S06.383A,S06.383,Head/Neck,0,1,5,2
S06.384A,S06.384,Head/Neck,0,0,1,2
S06.385A,S06.385,Head/Neck,0,0.125,1,8
S06.386A,S06.386,Head/Neck,0,0.272727281,2,11
S06.387A,S06.387,Head/Neck,1,0.983333349,5,60
S06.388A,S06.388,Head/Neck,1,1,6,10
S06.389A,S06.389,Head/Neck,0.166666672,0.521739125,5,46
S06.4X0A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.4X1A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.4X2A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.4X3A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.4X4A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.4X5A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.4X6A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.4X7A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.4X8A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.4X9A,S06.4,Head/Neck,0.049382716,0.078384802,2,842
S06.5X0A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.5X1A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.5X2A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.5X3A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.5X4A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.5X5A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.5X6A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.5X7A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.5X8A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.5X9A,S06.5,Head/Neck,0.095307387,0.134198561,4,7474
S06.6X0A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.6X1A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.6X2A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.6X3A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.6X4A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.6X5A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.6X6A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.6X7A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.6X8A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.6X9A,S06.6,Head/Neck,0.059210528,0.141604856,3,5932
S06.810A,S06.810,Head/Neck,0,0,1,10
S06.811A,S06.811,Head/Neck,0,0,1,2
S06.816A,S06.816,Head/Neck,0,0.333333343,3,3
S06.817A,S06.817,Head/Neck,0,1,5,3
S06.818A,S06.818,Head/Neck,0,1,5,1
S06.819A,S06.819,Head/Neck,0.5,0.333333343,5,6
S06.820A,S06.820,Head/Neck,0,0,1,4
S06.821A,S06.821,Head/Neck,0,0,1,3
S06.824A,S06.824,Head/Neck,0,0,1,1
S06.826A,S06.826,Head/Neck,0,0.5,4,2
S06.829A,S06.829,Head/Neck,0,0.166666672,2,6
S06.890A,S06.890,Head/Neck,0.083333336,0.102783725,3,467
S06.891A,S06.891,Head/Neck,0,0.034782607,1,115
S06.892A,S06.892,Head/Neck,0,0,1,7
S06.893A,S06.893,Head/Neck,0.5,0.125,5,8
S06.894A,S06.894,Head/Neck,0,0.200000003,2,25
S06.895A,S06.895,Head/Neck,0,0.181818187,2,22
S06.896A,S06.896,Head/Neck,0.666666687,0.333333343,5,45
S06.897A,S06.897,Head/Neck,0.949999988,0.949579835,5,119
S06.898A,S06.898,Head/Neck,1,1,6,17
S06.899A,S06.899,Head/Neck,0.079999998,0.144444451,3,270
S06.9X0A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S06.9X1A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S06.9X2A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S06.9X3A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S06.9X4A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S06.9X5A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S06.9X6A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S06.9X7A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S06.9X8A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S06.9X9A,S06.9,Head/Neck,0.093198992,0.108184382,3,1063
S07.0XXA,S07.0,Face,1,0.571428597,5,7
S07.1XXA,S07.1,Head/Neck,0.5,0.600000024,5,5
S07.8XXA,S07.8,Head/Neck,0,0,1,1
S07.9XXA,S07.9,Head/Neck,0,1,5,1
S08.0XXA,S08.0,Head/Neck,0,0.056737587,1,141
