i10,severity,issbr
S06363A,4,1.0
S06364A,4,1.0
S06365A,4,1.0
S06366A,4,1.0
S06367A,4,1.0
S06368A,4,1.0
S06369A,4,1.0
S06370A,3,1.0
S06370A,4,1.0
S06371A,3,1.0
S06371A,4,1.0
S06372A,3,1.0
S06372A,4,1.0
S06373A,3,1.0
S06373A,4,1.0
S06374A,3,1.0
S06374A,4,1.0
S06375A,5,1.0
S06375A,6,1.0
S06376A,5,1.0
S06376A,6,1.0
S06377A,5,1.0
S06377A,6,1.0
S06378A,5,1.0
S06378A,6,1.0
S06379A,3,1.0
S06379A,6,1.0
S06380A,3,1.0
S06380A,4,1.0
S06381A,3,1.0
S06381A,4,1.0
S06382A,3,1.0
S06382A,4,1.0
S06383A,3,1.0
S06383A,4,1.0
S06384A,3,1.0
S06384A,4,1.0
S06385A,5,1.0
S06385A,6,1.0
S06386A,5,1.0
S06386A,6,1.0
S06387A,5,1.0
S06387A,6,1.0
S06388A,5,1.0
S06388A,6,1.0
S06389A,3,1.0
S06389A,6,1.0
S064X0A,4,1.0
S064X1A,4,1.0
S064X2A,4,1.0
S064X3A,4,1.0
S064X4A,4,1.0
S064X5A,4,1.0
S064X6A,5,1.0
S064X7A,5,1.0
S064X8A,5,1.0
S064X9A,4,1.0
S065X0A,4,1.0
S065X1A,4,1.0
S065X2A,4,1.0
S065X3A,4,1.0
S065X4A,4,1.0
S065X5A,4,1.0
S065X6A,5,1.0
S065X7A,5,1.0
S065X8A,5,1.0
S065X9A,4,1.0
S066X0A,3,1.0
S066X1A,3,1.0
S066X2A,3,1.0
S066X3A,3,1.0
S066X4A,3,1.0
S066X5A,3,1.0
S066X6A,3,1.0
S066X7A,3,1.0
S066X8A,3,1.0
S066X9A,3,1.0
S06810A,1,1.0
S06811A,2,1.0
S06812A,2,1.0
S06813A,3,1.0
S06814A,3,1.0
S06815A,5,1.0
S06816A,5,1.0
S06817A,5,1.0
S06818A,5,1.0
S06819A,2,1.0
S06820A,1,1.0
S06821A,2,1.0
S06822A,2,1.0
S06823A,3,1.0
S06824A,3,1.0
S06825A,5,1.0
S06826A,5,1.0
S06827A,5,1.0
S06828A,5,1.0
S06829A,2,1.0
S06890A,1,1.0
S06891A,2,1.0
S06892A,2,1.0
S06893A,3,1.0
S06894A,3,1.0
S06895A,5,1.0
S06896A,5,1.0
S06897A,5,1.0
S06898A,5,1.0
S06899A,2,1.0
S069X0A,1,1.0
S069X1A,2,1.0
S069X2A,2,1.0
S069X3A,3,1.0
S069X4A,3,1.0
S069X5A,5,1.0
S069X6A,5,1.0
S069X7A,5,1.0
S069X8A,5,1.0
S069X9A,2,1.0
S070XXA,1,1.0
S071XXA,1,1.0
S078XXA,1,1.0
S079XXA,1,1.0
S080XXA,1,6.0
S08111A,1,2.0
S08112A,1,2.0
S08119A,1,2.0
S08121A,1,2.0
S08122A,1,2.0
S08129A,1,2.0
S08811A,1,6.0
S08812A,1,6.0
S0889XA,1,6.0
S090XXA,3,1.0
S0910XA,2,1.0
S0911XA,2,1.0
S0912XA,1,6.0
S0919XA,2,1.0
S0920XA,1,2.0
S0921XA,1,2.0
S0922XA,1,2.0
S09301A,1,2.0
S09301A,2,2.0
S09302A,1,2.0
S09302A,2,2.0
S09309A,1,2.0
S09309A,2,2.0
S09311A,1,2.0
S09311A,2,2.0
S09312A,1,2.0
S09312A,2,2.0
S09313A,1,2.0
S09313A,2,2.0
S09319A,1,2.0
S09319A,2,2.0
S09391A,1,2.0
S09391A,2,2.0
S09392A,1,2.0
S09392A,2,2.0
S09399A,1,2.0
S09399A,2,2.0
S098XXA,1,1.0
S098XXA,5,1.0
S098XXA,2,1.0
S0990XA,1,1.0
S0990XA,5,1.0
S0990XA,2,1.0
S0991XA,1,6.0
S0992XA,1,2.0
S0993XA,1,2.0
S100XXA,1,6.0
S1010XA,1,6.0
