icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S62.300A,Extremities,0.046394391,-4.202668814,224,1,Extremities,-0.64712839,-3.867465984,48,1,1,1,Extremities,Extremities
S62.300B,Extremities,0.411643892,-4.202668814,73,3,Extremities,0.741330027,-3.867465984,27,4,3,4,Extremities,Extremities
S62.301A,Extremities,0.340451379,-4.202668814,197,3,Extremities,-0.493250576,-3.867465984,63,1,3,1,Extremities,Extremities
S62.301B,Extremities,0.417509315,-4.202668814,100,3,Extremities,-0.445855096,-3.867465984,22,1,3,1,Extremities,Extremities
S62.302A,Extremities,-0.524393473,-4.202668814,223,1,Extremities,0.139174203,-3.867465984,54,3,1,3,Extremities,Extremities
S62.302B,Extremities,-0.690006861,-4.202668814,67,1,Extremities,0.542839135,-3.867465984,15,4,1,4,Extremities,Extremities
S62.303A,Extremities,-0.476625314,-4.202668814,213,1,Extremities,-0.637263483,-3.867465984,62,1,1,1,Extremities,Extremities
S62.303B,Extremities,-0.629111915,-4.202668814,85,1,Extremities,-0.307622164,-3.867465984,27,1,1,1,Extremities,Extremities
S62.304A,Extremities,0.017870442,-4.202668814,285,1,Extremities,-0.432893248,-3.867465984,103,1,1,1,Extremities,Extremities
S62.304B,Extremities,-0.52918573,-4.202668814,67,1,Extremities,-0.373785943,-3.867465984,20,1,1,1,Extremities,Extremities
S62.305A,Extremities,0.348569153,-4.202668814,275,3,Extremities,0.354173179,-3.867465984,93,3,3,3,Extremities,Extremities
S62.305B,Extremities,-0.6607693,-4.202668814,90,1,Extremities,-0.370928494,-3.867465984,31,1,1,1,Extremities,Extremities
S62.306A,Extremities,-0.176054166,-4.202668814,520,1,Extremities,-0.488192401,-3.867465984,243,1,1,1,Extremities,Extremities
S62.306B,Extremities,-0.573851458,-4.202668814,79,1,Extremities,-0.808191496,-3.867465984,21,1,1,1,Extremities,Extremities
S62.307A,Extremities,-0.249187342,-4.202668814,501,1,Extremities,-0.113814348,-3.867465984,178,1,1,1,Extremities,Extremities
S62.307B,Extremities,0.209999055,-4.202668814,105,2,Extremities,-0.438218478,-3.867465984,33,1,2,1,Extremities,Extremities
S62.308A,Extremities,-0.018127855,-4.202668814,134,1,Extremities,-0.048938249,-3.867465984,34,2,1,2,Extremities,Extremities
S62.308B,Extremities,0.220466964,-4.202668814,23,2,Extremities,-2.544504097,-3.867465984,2,1,2,1,Extremities,Extremities
S62.309A,Extremities,0.025299342,-4.202668814,251,1,Extremities,0.581677196,-3.867465984,53,4,1,4,Extremities,Extremities
S62.309B,Extremities,-0.010393522,-4.202668814,94,1,Extremities,-0.343354712,-3.867465984,4,1,1,1,Extremities,Extremities
S62.310A,Extremities,-0.112576067,-4.202668814,243,1,Extremities,-0.366911814,-3.867465984,37,1,1,1,Extremities,Extremities
S62.310B,Extremities,-0.176613324,-4.202668814,75,1,Extremities,-0.340234697,-3.867465984,11,1,1,1,Extremities,Extremities
S62.311A,Extremities,0.081926868,-4.202668814,287,1,Extremities,-0.927618986,-3.867465984,37,1,1,1,Extremities,Extremities
S62.311B,Extremities,-0.214663895,-4.202668814,100,1,Extremities,-0.382038837,-3.867465984,14,1,1,1,Extremities,Extremities
S62.312A,Extremities,0.050966261,-4.202668814,200,1,Extremities,-0.738300957,-3.867465984,34,1,1,1,Extremities,Extremities
