icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,dxrep,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S01.03XA,Head/Neck,0.7011388408701853,-4.202668814495247,488,3,Head/Neck,1.2881873169950842,-3.8422926291197053,25,5,3,5,Head/Neck,Head/Neck
S01.04XA,Head/Neck,0.8223575054585153,-4.202668814495247,272,4,Head/Neck,1.7563715038259522,-3.8422926291197053,17,5,4,5,Head/Neck,Head/Neck
S01.05XA,Head/Neck,-0.5383372462969354,-4.202668814495247,186,1,Head/Neck,-0.42054147254541535,-3.8422926291197053,31,1,1,1,Head/Neck,Head/Neck
S01.101A,Face,-0.4287825655623963,-4.202668814495247,97,1,Face,0.4436268953146998,-3.8422926291197053,30,4,1,4,Face,Face
S01.102A,Face,0.6468018510481295,-4.202668814495247,84,3,Face,0.7000878484719154,-3.8422926291197053,31,4,3,4,Face,Face
S01.109A,Face,1.0000046843021064,-4.202668814495247,22,4,Face,-1.0488927116437605,-3.8422926291197053,3,1,4,1,Face,Face
S01.111A,Face,-0.1708316004435957,-4.202668814495247,13011,1,Face,-0.21747155513422856,-3.8422926291197053,2442,1,1,1,Face,Face
S01.112A,Face,-0.12677945886288808,-4.202668814495247,13907,1,Face,-0.202735769561204,-3.8422926291197053,2669,1,1,1,Face,Face
S01.119A,Face,-0.25432668036959455,-4.202668814495247,1401,1,Face,-0.2544783691927837,-3.8422926291197053,108,1,1,1,Face,Face
S01.121A,Face,-0.5120096147998446,-4.202668814495247,455,1,Face,-0.2633929016303676,-3.8422926291197053,63,1,1,1,Face,Face
S01.122A,Face,-0.5287689290975898,-4.202668814495247,471,1,Face,-0.09628284702409526,-3.8422926291197053,72,1,1,1,Face,Face
S01.129A,Face,-1.2111162942909286,-4.202668814495247,42,1,Face,-1.0338951393740057,-3.8422926291197053,1,1,1,1,Face,Face
S01.131A,Face,-0.5921509165564067,-4.202668814495247,82,1,Face,-0.40422115684474563,-3.8422926291197053,5,1,1,1,Face,Face
S01.132A,Face,1.1681788769225805,-4.202668814495247,68,4,Face,-1.0977304363034148,-3.8422926291197053,6,1,4,1,Face,Face
S01.139A,Face,-0.1595322681342185,-4.202668814495247,5,1,Face,-0.2689944706831582,-3.8422926291197053,1,1,1,1,Face,Face
S01.141A,Face,-0.576880376620027,-4.202668814495247,33,1,Face,1.88711591250085,-3.8422926291197053,3,5,1,5,Face,Face
S01.142A,Face,-0.37376915130309674,-4.202668814495247,32,1,Face,2.1298458860283795,-3.8422926291197053,3,5,1,5,Face,Face
S01.149A,Face,-0.9866225932231897,-4.202668814495247,8,1,NA,NA,NA,NA,NA,1,1,Face,Face
S01.151A,Face,-0.6346683472521095,-4.202668814495247,156,1,Face,-0.3850324385241805,-3.8422926291197053,14,1,1,1,Face,Face
S01.152A,Face,-0.4895575273496015,-4.202668814495247,117,1,Face,-0.3961566980093302,-3.8422926291197053,19,1,1,1,Face,Face
S01.159A,Face,-0.6509777847527773,-4.202668814495247,13,1,NA,NA,NA,NA,NA,1,1,Face,Face
S01.20XA,Face,0.6539052632536038,-4.202668814495247,238,3,Face,0.7075444005668671,-3.8422926291197053,14,4,3,4,Face,Face
S01.21XA,Face,-0.1375353821321691,-4.202668814495247,10221,1,Face,-0.07986437491452467,-3.8422926291197053,1547,1,1,1,Face,Face
S01.22XA,Face,-0.38028529501111547,-4.202668814495247,213,1,Face,-0.6726990102546481,-3.8422926291197053,37,1,1,1,Face,Face
S01.23XA,Face,-0.21726718929555128,-4.202668814495247,95,1,Face,-1.0641145436412058,-3.8422926291197053,4,1,1,1,Face,Face
S01.24XA,Face,0.4968459060325461,-4.202668814495247,27,3,Face,-1.1160646352361987,-3.8422926291197053,7,1,3,1,Face,Face
S01.25XA,Face,-0.49338561212136783,-4.202668814495247,171,1,Face,-0.39553799644108073,-3.8422926291197053,23,1,1,1,Face,Face
S01.301A,Face,0.21249417766606374,-4.202668814495247,173,2,Face,-0.2671871420813842,-3.8422926291197053,21,1,2,1,Face,Face
S01.302A,Face,0.04067051365182899,-4.202668814495247,193,1,Face,0.3282607229881177,-3.8422926291197053,23,3,1,3,Face,Face
S01.309A,Face,1.227201261928506,-4.202668814495247,10,4,NA,NA,NA,NA,NA,4,4,Face,Face
S01.311A,Face,-0.31493260895308767,-4.202668814495247,3918,1,Face,-0.21143260447097695,-3.8422926291197053,633,1,1,1,Face,Face
S01.312A,Face,-0.17459035371546414,-4.202668814495247,4501,1,Face,-0.3428601195073744,-3.8422926291197053,718,1,1,1,Face,Face
S01.319A,Face,-0.15261790400215533,-4.202668814495247,341,1,Face,-0.11461280581456446,-3.8422926291197053,36,1,1,1,Face,Face
S01.321A,Face,-0.29011047094913134,-4.202668814495247,99,1,Face,0.5621039906159431,-3.8422926291197053,19,4,1,4,Face,Face
S01.322A,Face,-0.16975095531413165,-4.202668814495247,95,1,Face,-0.35187358429252125,-3.8422926291197053,14,1,1,1,Face,Face
S01.329A,Face,-1.0257744012550305,-4.202668814495247,12,1,NA,NA,NA,NA,NA,1,1,Face,Face
S01.331A,Face,0.21512179769622433,-4.202668814495247,44,2,NA,NA,NA,NA,NA,2,2,Face,Face
S01.332A,Face,-1.074402848056358,-4.202668814495247,62,1,Face,0.5827442637732406,-3.8422926291197053,8,4,1,4,Face,Face
S01.339A,Face,-0.6110736401698855,-4.202668814495247,5,1,NA,NA,NA,NA,NA,1,1,Face,Face
S01.341A,Face,0.08809140706877645,-4.202668814495247,15,1,Face,-0.5157152022914933,-3.8422926291197053,1,1,1,1,Face,Face
S01.342A,Face,-0.5413664103925575,-4.202668814495247,9,1,Face,-0.7217399035650855,-3.8422926291197053,4,1,1,1,Face,Face
S01.351A,Face,-0.27164548878668654,-4.202668814495247,109,1,Face,-0.3219509246754394,-3.8422926291197053,18,1,1,1,Face,Face
S01.352A,Face,-0.21653300652957436,-4.202668814495247,89,1,Face,-0.3835465324764637,-3.8422926291197053,14,1,1,1,Face,Face
S01.359A,Face,2.4152189951635115,-4.202668814495247,5,5,NA,NA,NA,NA,NA,5,5,Face,Face
