icdbase,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S12.8,Head/Neck,0.8654830103148285,-4.285670466553626,774,4,Head/Neck,0.43159513486448464,-3.8786441179476343,148,3,4,3,Head/Neck,Head/Neck
S12.9,Head/Neck,0.3205690739571772,-4.285670466553626,3225,2,Head/Neck,0.5740785441826197,-3.8786441179476343,209,4,2,4,Head/Neck,Head/Neck
S13.0,Head/Neck,-0.12681758415335237,-4.285670466553626,429,1,Head/Neck,0.34947320253342123,-3.8786441179476343,24,3,1,3,Head/Neck,Head/Neck
S13.1,Head/Neck,0.6530265835795671,-4.285670466553626,4636,3,Head/Neck,0.4659123343405378,-3.8786441179476343,554,4,3,4,Head/Neck,Head/Neck
S13.2,Head/Neck,0.7692894124617626,-4.285670466553626,62,4,Head/Neck,-1.517744725027883,-3.8786441179476343,1,1,4,1,Head/Neck,Head/Neck
S13.4,Head/Neck,-0.6377826535518748,-4.285670466553626,11381,1,Head/Neck,-0.3553645666169055,-3.8786441179476343,793,1,1,1,Head/Neck,Head/Neck
S13.5,Head/Neck,-5.078294779406361,-4.285670466553626,7,1,Head/Neck,-0.6530042519107965,-3.8786441179476343,3,1,1,1,Head/Neck,Head/Neck
S13.8,Head/Neck,-1.0569576943110048,-4.285670466553626,7027,1,Head/Neck,-0.2715157073630539,-3.8786441179476343,37,1,1,1,Head/Neck,Head/Neck
S13.9,Head/Neck,-0.7495641890326687,-4.285670466553626,405,1,Head/Neck,-0.013246606730940837,-3.8786441179476343,173,1,1,1,Head/Neck,Head/Neck
S14.0,Head/Neck,0.48164573917894926,-4.285670466553626,1135,3,Head/Neck,0.40042926676447976,-3.8786441179476343,259,3,3,3,Head/Neck,Head/Neck
S14.1,Head/Neck,1.234052508237738,-4.285670466553626,8806,4,Head/Neck,0.9053241501003535,-3.8786441179476343,1996,5,4,5,Head/Neck,Head/Neck
S14.2,Head/Neck,-0.6005556633368674,-4.285670466553626,237,1,Head/Neck,-1.2970813275824027,-3.8786441179476343,33,1,1,1,Head/Neck,Head/Neck
S14.3,Head/Neck,-1.4996373300515413,-4.285670466553626,818,1,Head/Neck,-0.96239456264502,-3.8786441179476343,271,1,1,1,Head/Neck,Head/Neck
S14.4,Head/Neck,-1.8464206753624521,-4.285670466553626,11,1,Head/Neck,-1.1256666126548323,-3.8786441179476343,3,1,1,1,Head/Neck,Head/Neck
S14.5,Head/Neck,1.611241966093349,-4.285670466553626,18,5,Head/Neck,-1.8503901260182574,-3.8786441179476343,16,1,5,1,Head/Neck,Head/Neck
S14.8,Head/Neck,0.33639417838656704,-4.285670466553626,54,2,Head/Neck,0.042109257195187294,-3.8786441179476343,16,2,2,2,Head/Neck,Head/Neck
S14.9,Head/Neck,-1.4789922618170066,-4.285670466553626,43,1,Head/Neck,-1.354625167695212,-3.8786441179476343,9,1,1,1,Head/Neck,Head/Neck
S15.0,Head/Neck,0.4619869546135182,-4.285670466553626,2487,3,Head/Neck,0.5966922026765428,-3.8786441179476343,160,4,3,4,Head/Neck,Head/Neck
S15.1,Head/Neck,0.16969263211158397,-4.285670466553626,4019,1,Head/Neck,-0.030427469019400657,-3.8786441179476343,354,1,1,1,Head/Neck,Head/Neck
S15.2,Head/Neck,0.33844450722965047,-4.285670466553626,471,2,Head/Neck,0.9692530238842483,-3.8786441179476343,95,5,2,5,Head/Neck,Head/Neck
S15.3,Head/Neck,1.0529907264650937,-4.285670466553626,542,4,Head/Neck,0.7818018224337046,-3.8786441179476343,87,4,4,4,Head/Neck,Head/Neck
S15.8,Head/Neck,0.4590631485787116,-4.285670466553626,173,3,Head/Neck,0.6344739232495832,-3.8786441179476343,41,4,3,4,Head/Neck,Head/Neck
S15.9,Head/Neck,0.6716662952011246,-4.285670466553626,85,3,Head/Neck,1.4535020933289513,-3.8786441179476343,14,5,3,5,Head/Neck,Head/Neck
S16.1,Head/Neck,-1.1572857834983703,-4.285670466553626,4881,1,Head/Neck,-0.7064183900026421,-3.8786441179476343,1387,1,1,1,Head/Neck,Head/Neck
S16.2,Head/Neck,0.4097710394961805,-4.285670466553626,570,2,Head/Neck,-1.2203735637524176,-3.8786441179476343,115,1,2,1,Head/Neck,Head/Neck
S16.8,Head/Neck,0.8732765045708185,-4.285670466553626,308,4,Head/Neck,-1.2328338120509268,-3.8786441179476343,11,1,4,1,Head/Neck,Head/Neck
S16.9,Head/Neck,0.02252097695432166,-4.285670466553626,54,1,Head/Neck,-1.2669363647330696,-3.8786441179476343,15,1,1,1,Head/Neck,Head/Neck
S17.0,Head/Neck,1.9584191290169615,-4.285670466553626,28,5,Head/Neck,-1.1870371854953528,-3.8786441179476343,5,1,5,1,Head/Neck,Head/Neck
S17.8,Head/Neck,-1.9100597714218241,-4.285670466553626,1,1,Head/Neck,2.9529580720587028,-3.8786441179476343,4,5,1,5,Head/Neck,Head/Neck
S17.9,Head/Neck,4.0730680964460415,-4.285670466553626,6,5,Head/Neck,2.3731661683395124,-3.8786441179476343,9,5,5,5,Head/Neck,Head/Neck
S19.8,Head/Neck,0.39488643154660735,-4.285670466553626,1498,2,Head/Neck,0.012990997758399316,-3.8786441179476343,162,1,2,1,Head/Neck,Head/Neck
S19.9,Head/Neck,0.46953092394309376,-4.285670466553626,1174,3,Head/Neck,0.2799003860439293,-3.8786441179476343,218,2,3,2,Head/Neck,Head/Neck
S20.0,Chest,0.2151477094548441,-4.285670466553626,1822,1,Chest,-0.32669759241648544,-3.8786441179476343,284,1,1,1,Chest,Chest
S20.1,Chest,0.22397251969337909,-4.285670466553626,530,1,Chest,-0.9051339726744297,-3.8786441179476343,63,1,1,1,Chest,Chest
S20.2,Chest,0.17848182699583187,-4.285670466553626,29787,1,Chest,-0.11144097798010844,-3.8786441179476343,4724,1,1,1,Chest,Chest
S20.3,Chest,0.18803456323086445,-4.285670466553626,9482,1,Chest,-0.27162967329915183,-3.8786441179476343,991,1,1,1,Chest,Chest
S20.4,Chest,0.10157869934787139,-4.285670466553626,6136,1,Chest,-0.39513684890419154,-3.8786441179476343,430,1,1,1,Chest,Chest
S20.9,Chest,0.08785342035079233,-4.285670466553626,8349,1,Chest,-1.1973918391145502,-3.8786441179476343,57,1,1,1,Chest,Chest
S21.0,Chest,0.013070394624212094,-4.285670466553626,474,1,Chest,-0.06201481968738261,-3.8786441179476343,144,1,1,1,Chest,Chest
S21.1,Chest,0.4081234777484667,-4.285670466553626,4696,2,Chest,-0.02055323246177823,-3.8786441179476343,1205,1,2,1,Chest,Chest
S21.2,Chest,-0.04296341519962272,-4.285670466553626,2946,1,Chest,-0.009650696222312002,-3.8786441179476343,473,1,1,1,Chest,Chest
S21.3,Chest,1.2827440007638857,-4.285670466553626,2341,5,Chest,0.05636761466720227,-3.8786441179476343,844,2,5,2,Chest,Chest
S21.4,Chest,0.7958449507100785,-4.285670466553626,1108,4,Chest,0.13728497471537623,-3.8786441179476343,283,2,4,2,Chest,Chest
S21.9,Chest,0.9168221691683678,-4.285670466553626,4907,4,Chest,-0.25486835170359057,-3.8786441179476343,110,1,4,1,Chest,Chest
S22.0,Chest,0.06346023790160533,-4.285670466553626,53833,1,Chest,0.002786699768370578,-3.8786441179476343,12288,1,1,1,Chest,Chest
S22.01,Chest,0.20847539512922458,-4.285670466553626,646,1,Chest,-0.46029940540502645,-3.8786441179476343,116,1,1,1,Chest,Chest
S22.2,Chest,0.1370350388549933,-4.285670466553626,22052,1,Chest,0.316975221462478,-3.8786441179476343,3666,3,1,3,Chest,Chest
S22.21,Chest,0.7914455768211852,-4.285670466553626,626,4,Chest,-1.7418254856195625,-3.8786441179476343,19,1,4,1,Chest,Chest
S22.3,Chest,-0.04279999068044773,-4.285670466553626,31495,1,Chest,0.12892654720568733,-3.8786441179476343,8239,2,1,2,Chest,Chest
S22.31,Chest,0.19593858829599828,-4.285670466553626,1538,1,Chest,-0.7004923268707612,-3.8786441179476343,170,1,1,1,Chest,Chest
S22.4,Chest,0.3613075580315666,-4.285670466553626,111991,2,Chest,0.44073907608996093,-3.8786441179476343,24988,3,2,3,Chest,Chest
S22.41,Chest,0.5441123005723991,-4.285670466553626,1468,3,Chest,-0.12450484862877609,-3.8786441179476343,153,1,3,1,Chest,Chest
S22.5,Chest,0.8752669084247666,-4.285670466553626,6547,4,Chest,0.7073900292178825,-3.8786441179476343,1024,4,4,4,Chest,Chest
S22.51,Chest,0.9346685752249786,-4.285670466553626,31,4,Chest,-1.3860581868203756,-3.8786441179476343,5,1,4,1,Chest,Chest
S22.8,Chest,-1.1739020588507594,-4.285670466553626,1,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S22.9,Chest,2.253061056776572,-4.285670466553626,37,5,Chest,-0.5938874545097014,-3.8786441179476343,66,1,5,1,Chest,Chest
S22.91,Chest,-1.9504296428675962,-4.285670466553626,1,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S23.0,Chest,1.116434080478224,-4.285670466553626,103,4,Chest,-1.5862116705488334,-3.8786441179476343,1,1,4,1,Chest,Chest
S23.1,Chest,0.3505841427301538,-4.285670466553626,830,2,Chest,0.815469174215335,-3.8786441179476343,28,4,2,4,Chest,Chest
S23.2,Chest,0.29305661629969365,-4.285670466553626,166,2,Chest,-0.03481421765405509,-3.8786441179476343,36,1,2,1,Chest,Chest
S23.3,Chest,-0.1169985277393317,-4.285670466553626,3468,1,Chest,-0.025449006229897996,-3.8786441179476343,96,1,1,1,Chest,Chest
S23.4,Chest,-0.011067257253928356,-4.285670466553626,335,1,Chest,-1.1257777053715137,-3.8786441179476343,47,1,1,1,Chest,Chest
S23.8,Chest,-1.0360428774383552,-4.285670466553626,69,1,Chest,-1.0076803916240291,-3.8786441179476343,2,1,1,1,Chest,Chest
S23.9,Chest,0.01933650368172291,-4.285670466553626,92,1,Chest,-0.9544217580488278,-3.8786441179476343,10,1,1,1,Chest,Chest
S24.0,Chest,0.27456116769446126,-4.285670466553626,372,2,Chest,0.6930387697751349,-3.8786441179476343,57,4,2,4,Chest,Chest
S24.1,Chest,0.0764582284122842,-4.285670466553626,2966,1,Chest,0.3770148531865837,-3.8786441179476343,661,3,1,3,Chest,Chest
S24.2,Chest,-0.742543630079555,-4.285670466553626,56,1,Chest,-1.6620165182448405,-3.8786441179476343,11,1,1,1,Chest,Chest
S24.3,Chest,-1.0440682373217942,-4.285670466553626,4,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S24.4,Chest,-1.0915035786186083,-4.285670466553626,8,1,Chest,-1.5507685935862001,-3.8786441179476343,3,1,1,1,Chest,Chest
S24.8,Chest,-4.632140413290089,-4.285670466553626,11,1,Chest,-1.2790960953756758,-3.8786441179476343,4,1,1,1,Chest,Chest
S24.9,Chest,-1.1518151504127936,-4.285670466553626,5,1,Chest,-1.2603656832221142,-3.8786441179476343,1,1,1,1,Chest,Chest
S25.0,Chest,1.2631058309051884,-4.285670466553626,2695,5,Chest,0.6495098780143401,-3.8786441179476343,267,4,5,4,Chest,Chest
