icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S85.141A,Extremities,0.21417839537996344,-4.202668814495247,110,2,Extremities,-0.45359409811777307,-3.867465984199183,19,1,2,1,Extremities,Extremities
S85.142A,Extremities,0.6609717894372593,-4.202668814495247,126,3,Extremities,-0.5486173546405938,-3.867465984199183,13,1,3,1,Extremities,Extremities
S85.149A,Extremities,-0.6904395604318905,-4.202668814495247,19,1,Extremities,-0.2131751880003527,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.151A,Extremities,1.0358763657078383,-4.202668814495247,95,4,Extremities,-0.6599942944053581,-3.867465984199183,15,1,4,1,Extremities,Extremities
S85.152A,Extremities,-0.19637880923711898,-4.202668814495247,94,1,Extremities,-0.5094977378972547,-3.867465984199183,21,1,1,1,Extremities,Extremities
S85.159A,Extremities,-1.7240891527753506,-4.202668814495247,10,1,Extremities,-0.545890466251063,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.161A,Extremities,0.07250917560996183,-4.202668814495247,36,1,Extremities,-0.3721753230825751,-3.867465984199183,4,1,1,1,Extremities,Extremities
S85.162A,Extremities,1.5495298069834365,-4.202668814495247,36,5,Extremities,-0.5530719430742136,-3.867465984199183,6,1,5,1,Extremities,Extremities
S85.169A,Extremities,-0.5036002477649304,-4.202668814495247,5,1,Extremities,-0.5582873247958581,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.171A,Extremities,0.6684742957874559,-4.202668814495247,147,3,Extremities,-0.5700559044581954,-3.867465984199183,26,1,3,1,Extremities,Extremities
S85.172A,Extremities,-0.04113302697101632,-4.202668814495247,139,1,Extremities,-0.45009821693902674,-3.867465984199183,36,1,1,1,Extremities,Extremities
S85.179A,Extremities,-0.7442469851387272,-4.202668814495247,14,1,Extremities,-0.17549925915275857,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.181A,Extremities,-0.743472245186371,-4.202668814495247,51,1,Extremities,0.3165015628460586,-3.867465984199183,5,3,1,3,Extremities,Extremities
S85.182A,Extremities,-0.546700046013977,-4.202668814495247,71,1,Extremities,0.03642308357420113,-3.867465984199183,22,2,1,2,Extremities,Extremities
S85.189A,Extremities,-0.5543373543092199,-4.202668814495247,3,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.201A,Extremities,0.44711848770632595,-4.202668814495247,29,3,Extremities,-0.713876943562763,-3.867465984199183,7,1,3,1,Extremities,Extremities
S85.202A,Extremities,-0.7387839553400724,-4.202668814495247,28,1,Extremities,-0.30929690092868023,-3.867465984199183,3,1,1,1,Extremities,Extremities
S85.209A,Extremities,-0.8094861322235225,-4.202668814495247,2,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.211A,Extremities,-0.5436854522691302,-4.202668814495247,53,1,Extremities,-0.4598048582640745,-3.867465984199183,8,1,1,1,Extremities,Extremities
S85.212A,Extremities,-0.876349952220548,-4.202668814495247,64,1,Extremities,-0.41556596266853635,-3.867465984199183,12,1,1,1,Extremities,Extremities
S85.219A,Extremities,2.177256815342352,-4.202668814495247,4,5,NA,NA,NA,NA,NA,5,5,Extremities,Extremities
S85.291A,Extremities,-1.059624713911761,-4.202668814495247,42,1,Extremities,0.39562697976684474,-3.867465984199183,9,3,1,3,Extremities,Extremities
S85.292A,Extremities,-0.2179958424612823,-4.202668814495247,43,1,Extremities,1.9096441455744864,-3.867465984199183,12,5,1,5,Extremities,Extremities
S85.299A,Extremities,-0.9121816795560829,-4.202668814495247,7,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.301A,Extremities,-0.620699602488531,-4.202668814495247,4,1,Extremities,-1.6179979596561318,-3.867465984199183,2,1,1,1,Extremities,Extremities
